epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1895.11,0.53902,0.48508,0.09685,0.80321,0.79741,0.8397,0.54818,0.85732,0.7117,0.11335,0.000479604,0.000479604,0.000479604
57,1928.92,0.54603,0.49248,0.09686,0.82502,0.79836,0.83266,0.55335,0.83381,0.71101,0.11238,0.000465678,0.000465678,0.000465678
58,1962.8,0.54376,0.48599,0.09655,0.85326,0.78101,0.83797,0.55442,0.85222,0.70244,0.11352,0.000451836,0.000451836,0.000451836
59,1996.83,0.53707,0.48477,0.09665,0.8689,0.77098,0.84044,0.55546,0.84838,0.69136,0.11305,0.00043809,0.00043809,0.00043809
60,2030.67,0.52612,0.47318,0.09583,0.86556,0.78237,0.84684,0.56579,0.82394,0.6819,0.11123,0.000424454,0.000424454,0.000424454
61,2064.68,0.53401,0.48331,0.09611,0.86795,0.79999,0.84422,0.56645,0.82843,0.70265,0.11188,0.000410942,0.000410942,0.000410942
62,2098.64,0.53862,0.48187,0.09676,0.85019,0.7939,0.83734,0.54832,0.85186,0.69977,0.11368,0.000397568,0.000397568,0.000397568
63,2132.63,0.53077,0.47486,0.09625,0.84913,0.79215,0.83549,0.55211,0.83958,0.70634,0.11293,0.000384344,0.000384344,0.000384344
64,2166.51,0.51381,0.46244,0.09541,0.86201,0.7855,0.83921,0.5553,0.84281,0.69984,0.11254,0.000371283,0.000371283,0.000371283
65,2200.58,0.51648,0.46293,0.0954,0.88941,0.7788,0.84177,0.55503,0.84012,0.68808,0.11307,0.000358399,0.000358399,0.000358399
66,2234.43,0.5054,0.45492,0.09442,0.87829,0.77886,0.84795,0.56425,0.83879,0.69175,0.11213,0.000345704,0.000345704,0.000345704
67,2268.33,0.50906,0.45823,0.09521,0.88955,0.77023,0.84619,0.56359,0.83256,0.68254,0.11197,0.000333211,0.000333211,0.000333211
68,2302.27,0.50596,0.45516,0.09487,0.89628,0.76403,0.84056,0.55468,0.83978,0.70034,0.11274,0.000320931,0.000320931,0.000320931
69,2336.24,0.51165,0.45459,0.09501,0.80521,0.81073,0.84311,0.5596,0.82895,0.68298,0.11215,0.000308878,0.000308878,0.000308878
70,2370.19,0.50282,0.45174,0.09466,0.83604,0.79873,0.83873,0.56547,0.81876,0.68604,0.11143,0.000297062,0.000297062,0.000297062
71,2405.29,0.49867,0.44605,0.0946,0.82236,0.79938,0.84533,0.55391,0.84335,0.68955,0.11311,0.000285497,0.000285497,0.000285497
